,original_profile_60_200,proposed_profile_60_200
0,0.8615384615384614,0.8157894736842104
1,0.8481308411214953,0.8143564356435643
2,0.7818181818181819,0.7653846153846153
3,0.9636627906976745,0.9736842105263158
4,0.8775532900225418,0.8196788979014957
5,0.7999999999999999,0.8599999999999999
6,0.7857142857142857,0.8352941176470589
7,0.7777777777777778,0.8280701754385965
8,0.6940352173404672,0.76
9,0.8274054233965851,0.8819460320046912
10,0.7888888888888889,0.8588235294117645
11,0.6555555555555554,0.8207631135212653
12,0.7999999999999999,0.8349153500867288
13,0.7999999999999999,0.7999999999999999
14,0.7999999999999999,0.7888888888888889
15,0.7999999999999999,0.8533333333333332
16,0.74,0.7
17,0.8303030303030302,0.8296296296296296
18,0.8568652259640159,0.8478361465218919
19,0.8599999999999999,0.8484848484848484
20,0.8595890410958904,0.8651315789473685
21,0.8337835557465436,0.902317880794702
22,0.6726420090316249,0.7682291666666666
23,0.734375,0.7888888888888889
24,0.8631578947368421,0.8235294117647057
25,0.8380952380952381,0.8727272727272726
26,0.8656338233957332,0.871204368941409
27,0.840677966101695,0.8714285714285712
28,0.7615384615384615,0.74
29,0.8055555555555554,0.7945945945945945
30,0.8730433037524334,0.9375
31,0.7999999999999999,0.7428571428571428
32,0.8615384615384614,0.84
33,0.8701841431009809,0.8451822971933767
34,0.8771084337349397,0.8989010989010988
35,0.8111156093956238,0.7633338478954962
36,0.8079384213897686,0.7970028092046322
37,0.8849315068493151,0.8878048780487805
38,0.8519999999999999,0.875
39,0.8950617283950617,0.8785046728971962
40,0.828709070977283,0.9019534444369117
41,0.7923728813559322,0.8601694915254238
42,0.84,0.8777777777777778
43,0.8273195876288659,0.8556701030927835
44,0.841025641025641,0.7885714285714286
45,0.8617633273213915,0.7833333333333333
46,0.7920675757361932,0.8271585152621476
47,0.6611111111111111,0.7451923076923077
48,0.83,0.7980769230769231
49,0.822463768115942,0.8597560975609756
50,0.7636363636363637,0.9419642857142858
51,0.8181818181818181,0.8133333333333332
52,0.8571428571428571,0.8482758620689654
53,0.801948051948052,0.8602941176470589
54,0.7999999999999999,0.8533333333333332
55,0.6789556316708124,0.7987007564174406
56,0.7488372093023256,0.7749999999999999
57,0.8454545454545455,0.8599999999999999
58,0.8049439595713116,0.8495145631067961
59,0.7743572704442627,0.7266709763696252
60,0.766951558564817,0.8950442988585882
61,0.8615384615384614,0.7799999999999999
62,0.8666666666666665,0.8499999999999999
63,0.83,0.8316326530612245
64,0.9350393700787403,0.9552845528455286
65,0.7743589743589744,0.711111111111111
66,0.9316666666666666,0.9366666666666666
67,0.8406496007275001,0.7799999999999999
68,0.8266666666666667,0.8266666666666667
69,0.8457620698208016,0.875
70,0.8857142857142857,0.8499999999999999
71,0.8214285714285713,0.8227272727272725
72,0.8133333333333332,0.875
73,0.6958333333333333,0.7268518518518519
74,0.8403614457831325,0.8411458333333334
75,0.7911764705882353,0.8354838709677419
76,0.7430555555555556,0.7670454545454546
77,0.84,0.7857142857142857
78,0.815019874105195,0.7710067192710754
79,0.62,0.7093636534667221
80,0.7999999999999999,0.7444444444444444
81,0.6975534272829426,0.9040178571428572
82,0.8491228070175438,0.8881355932203389
83,0.7272727272727272,0.8680430775919438
84,0.8722432675667551,0.8916083916083914
85,0.8181818181818181,0.8384615384615384
86,0.7,0.7554347826086957
87,0.8285714285714286,0.8434782608695651
88,0.8709707604535221,0.891156462585034
89,0.7930081227317503,0.8266666666666667
90,0.7999999999999999,0.8035832974276248
91,0.8576388888888888,0.8708791208791209
92,0.7849999999999999,0.8555555555555555
93,0.9459876543209875,0.934375
94,0.8493705811939873,0.8776667296216293
95,0.7609756097560975,0.738095238095238
96,0.7666666666666667,0.8545454545454545
97,0.9203454432306659,0.9634146341463413
98,0.9228346456692912,0.9209302325581395
99,0.7352799653489918,0.8694690265486725
